2035-12-08 08:34:30 status unpacked bash 3.2-4
2035-12-08 08:34:31 install coreutils <none> 6.10-6
2035-12-08 08:34:31 status half-installed coreutils 6.10-6
2035-12-08 08:35:02 status unpacked coreutils 6.10-6
2035-12-08 08:35:17 status unpacked coreutils 6.10-6
2035-12-08 08:35:19 install libdb4.6 <none> 4.6.21-11
2035-12-08 08:35:19 status half-installed libdb4.6 4.6.21-11
2035-12-08 08:35:25 status unpacked libdb4.6 4.6.21-11
2035-12-08 08:35:26 status unpacked libdb4.6 4.6.21-11
2035-12-08 08:35:28 install debconf-i18n <none> 1.5.24
2035-12-08 08:35:28 status half-installed debconf-i18n 1.5.24
2035-12-08 08:35:32 status unpacked debconf-i18n 1.5.24
2035-12-08 08:35:34 status unpacked debconf-i18n 1.5.24
2035-12-08 08:35:36 upgrade debconf 1.5.24 1.5.24
2035-12-08 08:35:36 status half-configured debconf 1.5.24
2035-12-08 08:35:38 status unpacked debconf 1.5.24
2035-12-08 08:35:39 status half-installed debconf 1.5.24
2035-12-08 08:35:41 status half-installed debconf 1.5.24
2035-12-08 08:35:46 status unpacked debconf 1.5.24
2035-12-08 08:36:00 status unpacked debconf 1.5.24
2035-12-08 08:36:03 install debianutils <none> 2.30
2035-12-08 08:36:03 status half-installed debianutils 2.30
2035-12-08 08:36:09 status unpacked debianutils 2.30
2035-12-08 08:36:11 status unpacked debianutils 2.30
2035-12-08 08:36:12 install libdevmapper1.02.1 <none> 2:1.02.27-4
2035-12-08 08:36:12 status half-installed libdevmapper1.02.1 2:1.02.27-4
2035-12-08 08:36:18 status unpacked libdevmapper1.02.1 2:1.02.27-4
2035-12-08 08:36:19 status unpacked libdevmapper1.02.1 2:1.02.27-4
2035-12-08 08:36:21 install diff <none> 2.8.1-12
2035-12-08 08:36:21 status half-installed diff 2.8.1-12
2035-12-08 08:36:25 status unpacked diff 2.8.1-12
2035-12-08 08:36:27 status unpacked diff 2.8.1-12
2035-12-08 08:36:28 upgrade dpkg 1.14.31 1.14.31
2035-12-08 08:36:28 status half-configured dpkg 1.14.31
2035-12-08 08:36:30 status unpacked dpkg 1.14.31
2035-12-08 08:36:31 status half-installed dpkg 1.14.31
2035-12-08 08:37:02 status half-installed dpkg 1.14.31
2035-12-08 08:37:08 status unpacked dpkg 1.14.31
2035-12-08 08:37:10 status unpacked dpkg 1.14.31
2035-12-08 08:37:12 install e2fslibs <none> 1.41.3-1
2035-12-08 08:37:12 status half-installed e2fslibs 1.41.3-1
2035-12-08 08:37:16 status unpacked e2fslibs 1.41.3-1
2035-12-08 08:37:18 status unpacked e2fslibs 1.41.3-1
2035-12-08 08:37:19 install e2fsprogs <none> 1.41.3-1
2035-12-08 08:37:19 status half-installed e2fsprogs 1.41.3-1
2035-12-08 08:37:48 status unpacked e2fsprogs 1.41.3-1
2035-12-08 08:37:50 status unpacked e2fsprogs 1.41.3-1
2035-12-08 08:37:51 install libblkid1 <none> 1.41.3-1
2035-12-08 08:37:51 status half-installed libblkid1 1.41.3-1
2035-12-08 08:37:56 status unpacked libblkid1 1.41.3-1
2035-12-08 08:37:57 status unpacked libblkid1 1.41.3-1
2035-12-08 08:37:59 install libcomerr2 <none> 1.41.3-1
2035-12-08 08:37:59 status half-installed libcomerr2 1.41.3-1
2035-12-08 08:38:03 status unpacked libcomerr2 1.41.3-1
2035-12-08 08:38:04 status unpacked libcomerr2 1.41.3-1
2035-12-08 08:38:05 install libss2 <none> 1.41.3-1
2035-12-08 08:38:05 status half-installed libss2 1.41.3-1
2035-12-08 08:38:10 status unpacked libss2 1.41.3-1
2035-12-08 08:38:11 status unpacked libss2 1.41.3-1
2035-12-08 08:38:12 install libuuid1 <none> 1.41.3-1
2035-12-08 08:38:12 status half-installed libuuid1 1.41.3-1
2035-12-08 08:38:30 status unpacked libuuid1 1.41.3-1
2035-12-08 08:38:32 status unpacked libuuid1 1.41.3-1
2035-12-08 08:38:35 install findutils <none> 4.4.0-2
2035-12-08 08:38:35 status half-installed findutils 4.4.0-2
2035-12-08 08:38:41 status unpacked findutils 4.4.0-2
2035-12-08 08:38:42 status unpacked findutils 4.4.0-2
2035-12-08 08:38:45 install gcc-4.2-base <none> 4.2.4-6
2035-12-08 08:38:45 status half-installed gcc-4.2-base 4.2.4-6
2035-12-08 08:38:49 status unpacked gcc-4.2-base 4.2.4-6
2035-12-08 08:38:50 status unpacked gcc-4.2-base 4.2.4-6
2035-12-08 08:38:52 install gcc-4.3-base <none> 4.3.2-1.1
2035-12-08 08:38:52 status half-installed gcc-4.3-base 4.3.2-1.1
2035-12-08 08:38:56 status unpacked gcc-4.3-base 4.3.2-1.1
2035-12-08 08:38:57 status unpacked gcc-4.3-base 4.3.2-1.1
2035-12-08 08:39:08 install libgcc1 <none> 1:4.3.2-1.1
2035-12-08 08:39:08 status half-installed libgcc1 1:4.3.2-1.1
2035-12-08 08:39:13 status unpacked libgcc1 1:4.3.2-1.1
2035-12-08 08:39:15 status unpacked libgcc1 1:4.3.2-1.1
2035-12-08 08:39:16 install libstdc++6 <none> 4.3.2-1.1
2035-12-08 08:39:16 status half-installed libstdc++6 4.3.2-1.1
2035-12-08 08:39:22 status unpacked libstdc++6 4.3.2-1.1
2035-12-08 08:39:23 status unpacked libstdc++6 4.3.2-1.1
2035-12-08 08:39:25 upgrade libc6 2.7-18lenny7 2.7-18lenny7
2035-12-08 08:39:25 status half-configured libc6 2.7-18lenny7
2035-12-08 08:39:27 status unpacked libc6 2.7-18lenny7
2035-12-08 08:39:28 status half-installed libc6 2.7-18lenny7
2035-12-08 08:40:16 status half-installed libc6 2.7-18lenny7
2035-12-08 08:40:18 status unpacked libc6 2.7-18lenny7
2035-12-08 08:40:20 status unpacked libc6 2.7-18lenny7
2035-12-08 08:40:21 install grep <none> 2.5.3~dfsg-6
2035-12-08 08:40:21 status half-installed grep 2.5.3~dfsg-6
2035-12-08 08:40:45 status unpacked grep 2.5.3~dfsg-6
2035-12-08 08:40:47 status unpacked grep 2.5.3~dfsg-6
2035-12-08 08:40:50 install gzip <none> 1.3.12-6+lenny1
2035-12-08 08:40:50 status half-installed gzip 1.3.12-6+lenny1
2035-12-08 08:40:56 status unpacked gzip 1.3.12-6+lenny1
2035-12-08 08:40:57 status unpacked gzip 1.3.12-6+lenny1
2035-12-08 08:41:00 install hostname <none> 2.95
2035-12-08 08:41:00 status half-installed hostname 2.95
2035-12-08 08:41:05 status unpacked hostname 2.95
